Ebene,Code,Name,Parent
1,11,"Brücke, Viadukt",
3,1111,Brücke mit Einfeldträger,11
3,1112,Brücke mit Durchlaufträger,11
3,1113,Brücke mit Gerberträger,11
2,112,"Rahmen-, Bogenbrücken",11
3,1121,Brücke mit Rahmentragwerk,112
3,1122,Brücke mit Sprengwerk,112
3,1123,Brücke mit Bogentragwerk,112
3,1124,Brücke mit versteiftem Stabbogen / Langerscher Balken,112
3,1125,Gewölbekonstruktion,112
3,1121,Brücke mit Rahmentragwerk,11
3,1122,Brücke mit Sprengwerk,11
3,1123,Brücke mit Bogentragwerk,11
3,1124,Brücke mit versteiftem Stabbogen / Langerscher Balken,11
3,1125,Gewölbekonstruktion,11
3,1131,Schrägseilbrücke,11
3,1132,Hängebrücke,11
3,1133,Spannbandbrücke,11
2,119,Spezielle Brücke,11
3,1192,Brücke auf Wanne,119
3,1193,Plattenbrücke,119
3,1192,Brücke auf Wanne,11
3,1193,Plattenbrücke,11
1,12,Tagbaute (ohne Brücke),
2,121,Tagbautunnel,12
3,1211,Tagbautunnel mit Rahmentragwerk,121
3,1212,Tagbautunnel mit Gewölbekonstruktion,121
3,1211,Tagbautunnel mit Rahmentragwerk,12
3,1212,Tagbautunnel mit Gewölbekonstruktion,12
2,122,Galerie,12
3,1221,Galerie mit Rahmentragwerk,122
3,1222,Galerie mit Gewölbekonstruktion,122
3,1221,Galerie mit Rahmentragwerk,12
3,1222,Galerie mit Gewölbekonstruktion,12
2,123,Durchlass,12
3,1231,Durchlass mit offenem Querschnitt,123
3,1232,Durchlass mit geschlossenem Querschnitt,123
3,1231,Durchlass mit offenem Querschnitt,12
3,1232,Durchlass mit geschlossenem Querschnitt,12
2,124,Stützbauwerk,12
3,1241,Felssicherung,124
3,1242,Hangsicherung,124
3,1243,Stützmauer,124
3,1244,Stützkonstruktion,124
3,1245,Felsverankerung,124
3,1246,Felsunterfangung,124
3,1241,Felssicherung,12
3,1242,Hangsicherung,12
3,1243,Stützmauer,12
3,1244,Stützkonstruktion,12
3,1245,Felsverankerung,12
3,1246,Felsunterfangung,12
2,125,Schutzbauwerk,12
3,1251,Erosionsschutz,125
3,1252,Grundwasserwanne,125
3,1253,Lawinenverbauung,125
3,1254,Ablenkmauer,125
3,1255,Schutzbau gegen Steinschlag,125
3,1256,Schutznetz,125
3,1257,Schutzdach,125
3,1258,Fallböden,125
3,1259,Geschiebesammler,125
3,1251,Erosionsschutz,12
3,1252,Grundwasserwanne,12
3,1253,Lawinenverbauung,12
3,1254,Ablenkmauer,12
3,1255,Schutzbau gegen Steinschlag,12
3,1256,Schutznetz,12
3,1257,Schutzdach,12
3,1258,Fallböden,12
3,1259,Geschiebesammler,12
2,126,"Mauer, Damm",12
4,12611,Holzkasten,126
4,12622,Schwergewichtsmauern in Mauerwerk,126
4,12641,Verankerte Elemente,126
4,12646,Fertigbetonelement Mauer,126
4,12648,Fertigbetonelement Mauer Strasse stützend,126
4,12611,Holzkasten,12
4,12622,Schwergewichtsmauern in Mauerwerk,12
4,12641,Verankerte Elemente,12
4,12646,Fertigbetonelement Mauer,12
4,12648,Fertigbetonelement Mauer Strasse stützend,12
2,127,Damm,12
3,1270,Schutznetz liegend,127
3,1270,Schutznetz liegend,12
2,128,Signalportal,12
3,1280,Signalportal einfacher Rahmen,128
3,1281,"Signalportal einfacher Rahmen, begehbar",128
3,1282,Signalportal Mehrfeldträger,128
